class_name,prompt
Normal,"Brain FLAIR MRI without bright hyperintensities or dark CSF space expansion."
Normal,"FLAIR brain image showing normal dark ventricles and absent focal bright lesions."
Normal,"Brain FLAIR scan with preserved parenchyma and no periventricular hyperintense signal."
WMH,"Brain FLAIR MRI with periventricular bright hyperintensities and dark CSF."
WMH,"FLAIR brain image demonstrating confluent bright white matter signals around ventricles."
WMH,"Brain FLAIR scan showing punctate or patchy bright foci in white matter."
Atrophy,"Brain FLAIR MRI with enlarged dark ventricles and widened sulci."
Atrophy,"FLAIR brain image revealing prominent dark CSF spaces and cortical thinning."
Atrophy,"Brain FLAIR scan displaying ex vacuo dark ventricular dilation."
Old_Lesion,"Brain FLAIR MRI with well-demarcated bright focal lesion and dark CSF rim."
Old_Lesion,"FLAIR brain image showing bright chronic gliosis with adjacent dark ventricle."
Old_Lesion,"Brain FLAIR scan containing non-enhancing bright remote lacuna near dark CSF."
Special,"Brain FLAIR MRI with atypical bright cortical ribbon or deep gray hyperintensity."
Special,"FLAIR brain image revealing unusual bright lesion pattern respecting dark CSF."
Special,"Brain FLAIR scan demonstrating focal bright abnormality not conforming to typical WMH."